user_id,signup_date,last_login_date,plan_type,monthly_fee
U0001,4/13/2023,2/24/2024,Basic,20
U0002,12/15/2023,1/2/2024,Pro,50
U0003,9/28/2023,2/18/2024,Basic,20
U0004,4/17/2023,1/28/2024,Pro,50
U0005,3/13/2023,2/1/2024,Basic,20
U0006,7/8/2023,1/27/2024,Basic,20
U0007,1/21/2023,1/20/2024,Basic,20
U0008,4/13/2023,1/24/2024,Pro,50
U0009,5/2/2023,1/12/2024,Pro,50
U0010,8/3/2023,2/19/2024,Pro,50
U0011,11/27/2023,2/4/2024,Basic,20
U0012,3/29/2023,2/29/2024,Pro,50
U0013,4/10/2023,2/2/2024,Basic,20
U0014,12/26/2023,2/2/2024,Basic,20
U0015,6/1/2023,2/20/2024,Basic,20
U0016,5/11/2023,2/12/2024,Pro,50
U0017,5/30/2023,2/6/2024,Basic,20
U0018,11/5/2023,1/12/2024,Pro,50
U0019,9/15/2023,1/3/2024,Pro,50
U0020,12/10/2023,1/1/2024,Basic,20
U0021,10/21/2023,2/2/2024,Basic,20
U0022,7/11/2023,2/9/2024,Basic,20
U0023,10/4/2023,1/10/2024,Basic,20
U0024,6/10/2023,2/12/2024,Basic,20
U0025,11/10/2023,2/13/2024,Basic,20
U0026,1/22/2023,1/29/2024,Pro,50
U0027,9/10/2023,1/13/2024,Basic,20
U0028,8/24/2023,1/12/2024,Pro,50
U0029,12/11/2023,1/31/2024,Pro,50
U0030,2/18/2023,2/15/2024,Pro,50
U0031,2/28/2023,1/2/2024,Pro,50
U0032,6/19/2023,2/20/2024,Pro,50
U0033,7/7/2023,2/19/2024,Basic,20
U0034,9/28/2023,2/4/2024,Basic,20
U0035,7/9/2023,1/23/2024,Pro,50
U0036,6/24/2023,1/17/2024,Pro,50
U0037,2/20/2023,1/26/2024,Basic,20
U0038,12/30/2023,1/8/2024,Basic,20
U0039,2/24/2023,1/29/2024,Basic,20
U0040,9/1/2023,1/26/2024,Enterprise,100
U0041,11/16/2023,1/10/2024,Basic,20
U0042,5/11/2023,1/26/2024,Basic,20
U0043,11/3/2023,2/3/2024,Basic,20
U0044,5/15/2023,2/20/2024,Basic,20
U0045,1/21/2023,2/10/2024,Pro,50
U0046,11/25/2023,1/7/2024,Basic,20
U0047,6/16/2023,1/4/2024,Pro,50
U0048,10/1/2023,2/27/2024,Basic,20
U0049,3/30/2023,2/22/2024,Pro,50
U0050,11/12/2023,2/19/2024,Basic,20
U0051,1/14/2023,2/14/2024,Basic,20
U0052,8/30/2023,1/11/2024,Pro,50
U0053,9/22/2023,1/29/2024,Enterprise,100
U0054,12/12/2023,2/25/2024,Pro,50
U0055,2/22/2023,2/5/2024,Pro,50
U0056,12/6/2023,1/25/2024,Enterprise,100
U0057,4/2/2023,1/21/2024,Basic,20
U0058,9/21/2023,2/26/2024,Enterprise,100
U0059,2/4/2023,2/5/2024,Basic,20
U0060,7/25/2023,1/10/2024,Pro,50
U0061,3/22/2023,2/6/2024,Pro,50
U0062,2/19/2023,1/9/2024,Pro,50
U0063,12/26/2023,1/24/2024,Basic,20
U0064,1/2/2023,2/4/2024,Basic,20
U0065,2/23/2023,2/18/2024,Pro,50
U0066,4/16/2023,2/4/2024,Basic,20
U0067,9/17/2023,2/17/2024,Enterprise,100
U0068,11/6/2023,2/5/2024,Pro,50
U0069,7/10/2023,1/18/2024,Basic,20
U0070,8/6/2023,2/18/2024,Pro,50
U0071,2/13/2023,2/8/2024,Basic,20
U0072,6/11/2023,2/1/2024,Pro,50
U0073,7/21/2023,1/24/2024,Pro,50
U0074,9/27/2023,1/23/2024,Basic,20
U0075,12/17/2023,2/1/2024,Basic,20
U0076,10/31/2023,2/6/2024,Enterprise,100
U0077,9/28/2023,1/12/2024,Basic,20
U0078,8/3/2023,2/18/2024,Pro,50
U0079,9/9/2023,2/24/2024,Basic,20
U0080,7/9/2023,1/13/2024,Basic,20
U0081,10/23/2023,1/23/2024,Basic,20
U0082,8/1/2023,1/25/2024,Basic,20
U0083,7/27/2023,2/4/2024,Basic,20
U0084,8/25/2023,2/10/2024,Pro,50
U0085,12/4/2023,1/30/2024,Basic,20
U0086,2/22/2023,1/17/2024,Basic,20
U0087,10/7/2023,2/18/2024,Basic,20
U0088,8/5/2023,1/20/2024,Basic,20
U0089,9/9/2023,2/17/2024,Basic,20
U0090,7/7/2023,1/25/2024,Pro,50
U0091,2/10/2023,1/22/2024,Pro,50
U0092,6/6/2023,1/13/2024,Basic,20
U0093,1/15/2023,2/28/2024,Pro,50
U0094,10/28/2023,1/19/2024,Pro,50
U0095,3/6/2023,2/18/2024,Basic,20
U0096,12/11/2023,2/5/2024,Enterprise,100
U0097,11/23/2023,1/12/2024,Enterprise,100
U0098,1/9/2023,2/10/2024,Basic,20
U0099,12/10/2023,1/19/2024,Basic,20
U0100,5/9/2023,1/12/2024,Enterprise,100
U0101,5/16/2023,1/9/2024,Pro,50
U0102,3/4/2023,1/7/2024,Basic,20
U0103,5/19/2023,1/28/2024,Pro,50
U0104,3/22/2023,1/14/2024,Pro,50
U0105,6/12/2023,1/31/2024,Pro,50
U0106,10/16/2023,2/21/2024,Pro,50
U0107,9/18/2023,1/19/2024,Pro,50
U0108,8/19/2023,2/27/2024,Basic,20
U0109,2/10/2023,2/16/2024,Basic,20
U0110,1/28/2023,1/16/2024,Pro,50
U0111,5/15/2023,2/22/2024,Enterprise,100
U0112,7/20/2023,1/5/2024,Basic,20
U0113,11/24/2023,2/4/2024,Pro,50
U0114,9/25/2023,1/12/2024,Pro,50
U0115,2/2/2023,1/25/2024,Basic,20
U0116,2/17/2023,2/21/2024,Pro,50
U0117,3/3/2023,2/28/2024,Pro,50
U0118,8/4/2023,1/21/2024,Pro,50
U0119,10/20/2023,2/5/2024,Basic,20
U0120,4/9/2023,2/22/2024,Basic,20
U0121,6/21/2023,1/23/2024,Pro,50
U0122,12/26/2023,1/16/2024,Basic,20
U0123,8/2/2023,2/26/2024,Basic,20
U0124,2/4/2023,2/8/2024,Basic,20
U0125,8/15/2023,2/14/2024,Basic,20
U0126,4/11/2023,2/22/2024,Basic,20
U0127,5/11/2023,2/11/2024,Basic,20
U0128,9/14/2023,2/27/2024,Basic,20
U0129,1/5/2023,2/8/2024,Basic,20
U0130,8/6/2023,1/14/2024,Pro,50
U0131,9/12/2023,1/31/2024,Pro,50
U0132,12/25/2023,2/27/2024,Basic,20
U0133,10/10/2023,1/5/2024,Pro,50
U0134,7/26/2023,2/4/2024,Basic,20
U0135,1/15/2023,1/23/2024,Pro,50
U0136,12/12/2023,1/29/2024,Pro,50
U0137,2/11/2023,2/12/2024,Enterprise,100
U0138,6/28/2023,1/11/2024,Pro,50
U0139,3/4/2023,1/18/2024,Pro,50
U0140,12/18/2023,2/16/2024,Pro,50
U0141,8/19/2023,1/12/2024,Basic,20
U0142,8/29/2023,1/9/2024,Basic,20
U0143,2/21/2023,1/10/2024,Pro,50
U0144,4/6/2023,2/27/2024,Basic,20
U0145,8/10/2023,2/13/2024,Pro,50
U0146,8/19/2023,1/17/2024,Basic,20
U0147,8/25/2023,2/7/2024,Basic,20
U0148,5/23/2023,1/7/2024,Basic,20
U0149,6/20/2023,2/15/2024,Basic,20
U0150,1/29/2023,1/13/2024,Pro,50
U0151,2/5/2023,2/9/2024,Basic,20
U0152,1/13/2023,2/11/2024,Basic,20
U0153,6/9/2023,1/9/2024,Basic,20
U0154,11/23/2023,2/19/2024,Basic,20
U0155,7/6/2023,1/27/2024,Pro,50
U0156,8/31/2023,2/27/2024,Basic,20
U0157,3/27/2023,1/2/2024,Pro,50
U0158,10/11/2023,1/5/2024,Pro,50
U0159,3/7/2023,1/29/2024,Pro,50
U0160,6/19/2023,2/6/2024,Pro,50
U0161,2/14/2023,2/7/2024,Pro,50
U0162,3/3/2023,1/19/2024,Enterprise,100
U0163,5/14/2023,1/8/2024,Basic,20
U0164,10/11/2023,2/17/2024,Basic,20
U0165,1/28/2023,2/14/2024,Basic,20
U0166,4/18/2023,1/1/2024,Basic,20
U0167,2/13/2023,1/22/2024,Pro,50
U0168,12/6/2023,2/21/2024,Enterprise,100
U0169,10/13/2023,1/17/2024,Basic,20
U0170,11/27/2023,1/7/2024,Basic,20
U0171,5/8/2023,1/25/2024,Basic,20
U0172,12/14/2023,2/14/2024,Pro,50
U0173,8/19/2023,1/4/2024,Pro,50
U0174,7/9/2023,2/5/2024,Basic,20
U0175,8/13/2023,1/6/2024,Enterprise,100
U0176,10/10/2023,2/29/2024,Pro,50
U0177,5/1/2023,1/31/2024,Basic,20
U0178,4/26/2023,1/19/2024,Pro,50
U0179,8/21/2023,2/13/2024,Pro,50
U0180,9/16/2023,2/23/2024,Basic,20
U0181,12/25/2023,2/8/2024,Basic,20
U0182,7/17/2023,1/27/2024,Basic,20
U0183,5/17/2023,1/10/2024,Basic,20
U0184,11/14/2023,1/26/2024,Pro,50
U0185,6/14/2023,1/19/2024,Enterprise,100
U0186,8/13/2023,2/8/2024,Basic,20
U0187,11/3/2023,1/3/2024,Basic,20
U0188,8/22/2023,2/14/2024,Basic,20
U0189,6/21/2023,1/13/2024,Basic,20
U0190,6/1/2023,2/19/2024,Pro,50
